item_id,store_id,d_1,d_2,d_3,d_4,d_5,d_6,d_7
ITEM_1,WM_282001,6,19,14,10,7,20,6
ITEM_1,WM_143001,18,10,10,20,3,7,2
ITEM_1,WM_431001,20,1,11,5,1,20,0
ITEM_1,WM_560001,11,11,16,9,15,14,14
ITEM_1,WM_462001,18,11,19,2,4,18,6
ITEM_1,WM_160017,20,8,6,17,3,13,17
ITEM_1,WM_600001,8,20,1,19,14,6,11
ITEM_1,WM_641001,7,14,2,13,16,3,17
ITEM_1,WM_110001,7,3,1,5,9,3,17
ITEM_1,WM_522002,11,1,9,3,13,15,14
ITEM_1,WM_781001,7,13,7,20,15,12,17
ITEM_1,WM_500001,14,20,12,8,14,12,0
ITEM_1,WM_452001,6,8,0,11,7,10,18
ITEM_1,WM_144001,16,7,2,2,0,4,9
ITEM_1,WM_302001,6,8,6,8,7,11,1
ITEM_1,WM_700001,0,15,4,2,11,7,2
ITEM_1,WM_226001,0,2,4,14,13,2,0
ITEM_1,WM_141001,4,13,6,8,14,14,9
ITEM_1,WM_250001,12,18,6,16,19,3,4
ITEM_1,WM_400001,6,12,14,10,3,12,6
ITEM_1,WM_440001,18,1,9,12,20,5,11
ITEM_1,WM_533101,11,19,10,6,0,0,19
ITEM_1,WM_492001,12,8,2,6,5,7,8
ITEM_1,WM_444601,4,0,18,9,11,14,8
ITEM_1,WM_834001,19,16,16,19,11,6,1
ITEM_1,WM_520001,2,16,4,16,16,16,1
ITEM_1,WM_530001,1,4,0,0,18,1,20
ITEM_1,WM_632001,11,5,3,10,16,5,4
ITEM_2,WM_282001,19,1,5,10,15,15,0
ITEM_2,WM_143001,8,5,15,2,19,3,18
ITEM_2,WM_431001,2,18,19,6,19,8,0
ITEM_2,WM_560001,7,6,17,7,0,10,17
ITEM_2,WM_462001,9,2,6,15,15,19,16
ITEM_2,WM_160017,1,0,15,11,4,4,8
ITEM_2,WM_600001,8,2,18,15,15,2,19
ITEM_2,WM_641001,0,19,10,16,7,3,5
ITEM_2,WM_110001,7,19,2,15,2,17,13
ITEM_2,WM_522002,17,1,2,15,8,3,0
ITEM_2,WM_781001,3,0,13,20,15,19,7
ITEM_2,WM_500001,6,2,16,0,15,11,18
ITEM_2,WM_452001,13,5,5,12,18,7,1
ITEM_2,WM_144001,20,0,14,0,4,15,18
ITEM_2,WM_302001,3,2,16,16,11,13,20
ITEM_2,WM_700001,5,2,8,4,16,13,20
ITEM_2,WM_226001,2,0,19,20,0,2,17
ITEM_2,WM_141001,9,2,7,13,17,14,1
ITEM_2,WM_250001,9,1,16,7,0,8,10
ITEM_2,WM_400001,15,6,9,2,17,12,6
ITEM_2,WM_440001,3,12,19,0,7,13,15
ITEM_2,WM_533101,13,11,18,14,1,1,18
ITEM_2,WM_492001,16,19,9,5,14,10,4
ITEM_2,WM_444601,0,7,20,11,11,4,6
ITEM_2,WM_834001,3,5,12,19,14,2,7
ITEM_2,WM_520001,19,15,12,17,9,18,16
ITEM_2,WM_530001,18,4,20,8,11,20,0
ITEM_2,WM_632001,0,14,1,15,7,12,20
ITEM_3,WM_282001,0,15,6,4,2,11,15
ITEM_3,WM_143001,18,4,13,4,14,16,13
ITEM_3,WM_431001,19,4,11,15,15,20,6
ITEM_3,WM_560001,3,0,4,9,4,3,1
ITEM_3,WM_462001,19,9,18,0,4,12,3
ITEM_3,WM_160017,15,15,1,16,19,11,17
ITEM_3,WM_600001,2,0,0,18,10,4,11
ITEM_3,WM_641001,2,0,0,7,9,10,11
ITEM_3,WM_110001,12,11,13,1,18,17,2
ITEM_3,WM_522002,16,7,9,1,18,8,6
ITEM_3,WM_781001,3,20,17,12,10,3,20
ITEM_3,WM_500001,3,9,4,8,2,16,2
ITEM_3,WM_452001,15,3,17,16,6,4,11
ITEM_3,WM_144001,16,12,2,8,16,16,19
ITEM_3,WM_302001,15,12,18,16,3,11,8
ITEM_3,WM_700001,18,11,8,6,13,19,18
ITEM_3,WM_226001,14,15,20,4,2,11,19
ITEM_3,WM_141001,20,3,20,15,6,12,20
ITEM_3,WM_250001,9,6,13,4,2,10,10
ITEM_3,WM_400001,17,14,11,8,9,11,16
ITEM_3,WM_440001,5,6,13,12,7,9,8
ITEM_3,WM_533101,17,1,4,4,5,18,7
ITEM_3,WM_492001,15,12,0,19,16,6,12
ITEM_3,WM_444601,3,3,5,18,11,6,9
ITEM_3,WM_834001,18,6,2,12,12,17,19
ITEM_3,WM_520001,7,8,6,0,2,12,16
ITEM_3,WM_530001,0,5,20,5,11,12,12
ITEM_3,WM_632001,14,20,15,20,10,4,3
ITEM_4,WM_282001,2,18,19,17,14,8,16
ITEM_4,WM_143001,13,14,0,20,2,15,10
ITEM_4,WM_431001,11,9,15,7,5,11,20
ITEM_4,WM_560001,7,3,7,17,4,8,3
ITEM_4,WM_462001,16,8,0,20,19,12,15
ITEM_4,WM_160017,12,13,2,5,17,18,4
ITEM_4,WM_600001,14,1,9,17,12,4,0
ITEM_4,WM_641001,0,17,14,16,10,20,16
ITEM_4,WM_110001,12,0,1,8,2,0,20
ITEM_4,WM_522002,15,5,16,4,4,5,2
ITEM_4,WM_781001,20,4,20,4,9,9,18
ITEM_4,WM_500001,16,20,13,8,13,0,18
ITEM_4,WM_452001,12,12,3,0,16,7,1
ITEM_4,WM_144001,7,6,1,2,17,11,0
ITEM_4,WM_302001,11,4,16,15,14,14,4
ITEM_4,WM_700001,20,13,1,10,18,6,5
ITEM_4,WM_226001,1,5,17,1,17,14,18
ITEM_4,WM_141001,1,19,5,0,14,9,18
ITEM_4,WM_250001,16,4,3,9,16,9,16
ITEM_4,WM_400001,19,4,1,5,20,1,12
ITEM_4,WM_440001,10,10,15,10,18,14,15
ITEM_4,WM_533101,10,15,7,3,7,3,2
ITEM_4,WM_492001,2,17,18,18,20,4,17
ITEM_4,WM_444601,9,20,5,0,4,8,11
ITEM_4,WM_834001,13,1,16,13,12,8,14
ITEM_4,WM_520001,14,10,15,16,3,0,7
ITEM_4,WM_530001,16,2,19,14,14,13,13
ITEM_4,WM_632001,1,12,13,18,6,2,14
ITEM_5,WM_282001,13,10,14,12,17,5,2
ITEM_5,WM_143001,18,14,4,9,6,16,6
ITEM_5,WM_431001,11,16,12,19,3,9,2
ITEM_5,WM_560001,8,12,17,14,3,14,1
ITEM_5,WM_462001,14,7,7,16,11,18,9
ITEM_5,WM_160017,8,4,5,19,1,12,5
ITEM_5,WM_600001,4,0,20,20,5,5,15
ITEM_5,WM_641001,3,10,8,2,18,7,4
ITEM_5,WM_110001,3,5,1,19,10,3,14
ITEM_5,WM_522002,5,16,5,18,1,14,10
ITEM_5,WM_781001,7,18,12,11,4,5,3
ITEM_5,WM_500001,18,19,0,19,16,11,14
ITEM_5,WM_452001,0,13,5,4,10,3,12
ITEM_5,WM_144001,10,2,0,5,17,9,4
ITEM_5,WM_302001,9,11,1,12,7,1,19
ITEM_5,WM_700001,0,4,8,16,8,10,14
ITEM_5,WM_226001,5,2,16,4,11,17,13
ITEM_5,WM_141001,20,10,8,1,11,2,2
ITEM_5,WM_250001,0,7,7,10,8,4,13
ITEM_5,WM_400001,2,20,4,4,18,13,3
ITEM_5,WM_440001,12,9,17,7,7,6,7
ITEM_5,WM_533101,13,18,5,0,14,0,16
ITEM_5,WM_492001,0,14,1,13,20,7,7
ITEM_5,WM_444601,18,6,18,5,5,2,6
ITEM_5,WM_834001,18,7,9,19,14,14,0
ITEM_5,WM_520001,19,6,3,5,0,4,0
ITEM_5,WM_530001,3,1,9,4,9,0,5
ITEM_5,WM_632001,12,14,3,12,19,14,7
ITEM_6,WM_282001,4,14,3,11,12,1,18
ITEM_6,WM_143001,18,3,3,10,4,19,10
ITEM_6,WM_431001,9,7,5,5,7,14,13
ITEM_6,WM_560001,10,11,12,7,17,0,14
ITEM_6,WM_462001,7,10,11,11,3,15,3
ITEM_6,WM_160017,4,4,7,9,16,8,18
ITEM_6,WM_600001,13,7,8,10,0,13,4
ITEM_6,WM_641001,20,13,3,0,18,7,14
ITEM_6,WM_110001,20,14,8,20,8,9,19
ITEM_6,WM_522002,20,8,2,19,10,5,1
ITEM_6,WM_781001,6,17,1,16,10,11,18
ITEM_6,WM_500001,6,19,5,20,0,16,10
ITEM_6,WM_452001,17,20,16,6,16,19,8
ITEM_6,WM_144001,16,19,7,16,6,0,12
ITEM_6,WM_302001,18,18,16,12,15,7,18
ITEM_6,WM_700001,17,0,13,18,14,17,1
ITEM_6,WM_226001,16,17,5,18,3,0,7
ITEM_6,WM_141001,6,2,9,9,18,13,1
ITEM_6,WM_250001,0,17,6,7,0,2,7
ITEM_6,WM_400001,14,4,2,18,0,14,7
ITEM_6,WM_440001,1,2,13,13,10,15,3
ITEM_6,WM_533101,19,4,20,13,15,17,6
ITEM_6,WM_492001,9,6,0,20,18,15,18
ITEM_6,WM_444601,3,17,1,0,14,4,19
ITEM_6,WM_834001,10,9,1,2,11,19,4
ITEM_6,WM_520001,4,5,8,1,20,11,2
ITEM_6,WM_530001,19,11,16,9,13,16,17
ITEM_6,WM_632001,18,16,13,8,7,1,12
ITEM_7,WM_282001,6,8,10,13,3,12,1
ITEM_7,WM_143001,4,10,5,17,20,9,3
ITEM_7,WM_431001,8,5,1,16,4,5,11
ITEM_7,WM_560001,20,9,20,5,7,1,11
ITEM_7,WM_462001,12,20,6,9,12,16,20
ITEM_7,WM_160017,13,1,10,0,18,20,3
ITEM_7,WM_600001,18,20,10,7,10,3,16
ITEM_7,WM_641001,6,7,2,1,14,4,0
ITEM_7,WM_110001,3,14,19,18,2,19,10
ITEM_7,WM_522002,16,12,10,1,8,1,20
ITEM_7,WM_781001,8,8,7,16,0,10,7
ITEM_7,WM_500001,9,6,2,2,17,4,11
ITEM_7,WM_452001,11,18,5,1,11,18,4
ITEM_7,WM_144001,11,16,16,9,16,14,11
ITEM_7,WM_302001,15,18,7,20,16,4,15
ITEM_7,WM_700001,5,7,17,11,14,8,12
ITEM_7,WM_226001,14,9,15,6,16,20,6
ITEM_7,WM_141001,13,14,20,6,8,18,15
ITEM_7,WM_250001,7,17,17,19,6,2,17
ITEM_7,WM_400001,9,6,16,13,2,11,12
ITEM_7,WM_440001,1,2,4,10,7,11,6
ITEM_7,WM_533101,14,16,3,12,17,0,15
ITEM_7,WM_492001,12,9,11,1,2,9,1
ITEM_7,WM_444601,12,12,17,2,6,13,19
ITEM_7,WM_834001,16,20,11,15,11,14,9
ITEM_7,WM_520001,6,19,4,0,16,2,12
ITEM_7,WM_530001,13,17,3,17,4,15,0
ITEM_7,WM_632001,20,13,14,8,14,16,3
ITEM_8,WM_282001,11,4,4,10,5,6,13
ITEM_8,WM_143001,10,12,1,6,19,3,7
ITEM_8,WM_431001,19,20,18,12,13,9,10
ITEM_8,WM_560001,1,8,16,2,5,4,4
ITEM_8,WM_462001,14,16,8,2,19,16,9
ITEM_8,WM_160017,2,17,17,16,2,2,5
ITEM_8,WM_600001,12,14,8,3,13,4,1
ITEM_8,WM_641001,10,8,2,8,2,1,11
ITEM_8,WM_110001,9,8,14,7,4,10,1
ITEM_8,WM_522002,14,5,7,4,15,17,5
ITEM_8,WM_781001,4,15,12,4,12,16,17
ITEM_8,WM_500001,7,12,18,2,7,1,7
ITEM_8,WM_452001,12,12,0,5,18,15,7
ITEM_8,WM_144001,0,15,8,12,10,12,20
ITEM_8,WM_302001,9,3,5,6,4,10,12
ITEM_8,WM_700001,18,9,9,10,20,6,17
ITEM_8,WM_226001,3,1,13,12,11,6,1
ITEM_8,WM_141001,12,13,16,8,16,7,1
ITEM_8,WM_250001,12,2,15,5,18,6,9
ITEM_8,WM_400001,8,1,14,4,3,19,3
ITEM_8,WM_440001,17,3,16,11,16,9,0
ITEM_8,WM_533101,17,17,13,14,11,3,2
ITEM_8,WM_492001,19,11,6,10,0,5,14
ITEM_8,WM_444601,14,18,10,1,13,1,3
ITEM_8,WM_834001,16,2,12,8,6,14,10
ITEM_8,WM_520001,19,1,14,13,19,10,2
ITEM_8,WM_530001,16,11,20,14,15,4,19
ITEM_8,WM_632001,5,18,4,2,0,5,14
ITEM_9,WM_282001,1,2,16,11,17,14,11
ITEM_9,WM_143001,15,7,13,16,20,7,14
ITEM_9,WM_431001,13,17,19,6,2,11,20
ITEM_9,WM_560001,2,19,13,14,13,6,16
ITEM_9,WM_462001,11,19,3,8,5,15,20
ITEM_9,WM_160017,20,1,7,10,12,16,7
ITEM_9,WM_600001,20,17,17,13,14,5,10
ITEM_9,WM_641001,12,0,5,8,7,10,18
ITEM_9,WM_110001,8,16,11,13,14,15,19
ITEM_9,WM_522002,0,9,7,17,0,1,0
ITEM_9,WM_781001,0,8,12,0,12,19,6
ITEM_9,WM_500001,1,5,6,13,17,14,1
ITEM_9,WM_452001,9,11,16,7,10,2,5
ITEM_9,WM_144001,8,5,8,6,8,17,11
ITEM_9,WM_302001,7,7,17,19,14,6,10
ITEM_9,WM_700001,19,15,3,5,2,8,9
ITEM_9,WM_226001,13,10,17,11,11,12,12
ITEM_9,WM_141001,18,18,13,3,12,7,20
ITEM_9,WM_250001,18,11,17,5,17,18,4
ITEM_9,WM_400001,8,2,9,18,2,14,0
ITEM_9,WM_440001,6,11,16,20,19,4,3
ITEM_9,WM_533101,11,19,17,16,18,8,3
ITEM_9,WM_492001,20,1,3,1,14,1,3
ITEM_9,WM_444601,5,6,9,18,18,11,2
ITEM_9,WM_834001,12,17,7,20,14,0,2
ITEM_9,WM_520001,7,3,15,9,11,13,13
ITEM_9,WM_530001,1,4,4,5,12,8,14
ITEM_9,WM_632001,13,6,19,1,6,5,16
ITEM_10,WM_282001,1,2,4,4,0,7,11
ITEM_10,WM_143001,3,12,14,10,9,2,13
ITEM_10,WM_431001,15,9,9,11,8,0,4
ITEM_10,WM_560001,19,7,10,11,0,19,10
ITEM_10,WM_462001,4,14,4,11,4,16,16
ITEM_10,WM_160017,11,14,14,5,11,19,17
ITEM_10,WM_600001,13,1,8,4,19,0,2
ITEM_10,WM_641001,5,4,20,4,0,16,18
ITEM_10,WM_110001,13,11,9,19,20,17,10
ITEM_10,WM_522002,1,17,6,14,10,17,11
ITEM_10,WM_781001,5,19,12,19,15,17,9
ITEM_10,WM_500001,7,17,20,0,7,5,4
ITEM_10,WM_452001,14,14,1,0,10,9,17
ITEM_10,WM_144001,17,16,7,14,7,16,11
ITEM_10,WM_302001,7,13,3,0,0,18,15
ITEM_10,WM_700001,13,20,15,4,8,1,17
ITEM_10,WM_226001,5,8,0,8,15,12,8
ITEM_10,WM_141001,20,12,8,10,3,1,5
ITEM_10,WM_250001,13,3,5,18,5,1,17
ITEM_10,WM_400001,12,8,18,12,10,0,6
ITEM_10,WM_440001,20,14,0,11,6,14,20
ITEM_10,WM_533101,18,0,16,16,2,11,5
ITEM_10,WM_492001,10,2,7,13,13,9,1
ITEM_10,WM_444601,13,8,2,20,7,15,1
ITEM_10,WM_834001,5,20,11,4,1,15,4
ITEM_10,WM_520001,14,11,3,14,10,15,5
ITEM_10,WM_530001,13,17,11,10,12,20,10
ITEM_10,WM_632001,15,14,20,14,3,10,18
